name,code,category,unit,prices[0][price],prices[0][currency]
"Bazén obdélník PŘELIV 4×8×1.3m",BAZ-OBD-PR-4-8-1.3,bazeny,ks,102050,CZK
"Bazén obdélník PŘELIV 2×5×1.4m",BAZ-OBD-PR-2-5-1.4,bazeny,ks,42683,CZK
"Bazén obdélník PŘELIV 2×6×1.4m",BAZ-OBD-PR-2-6-1.4,bazeny,ks,50267,CZK
"Bazén obdélník PŘELIV 2.5×5×1.4m",BAZ-OBD-PR-2.5-5-1.4,bazeny,ks,47667,CZK
"Bazén obdélník PŘELIV 2.5×6×1.4m",BAZ-OBD-PR-2.5-6-1.4,bazeny,ks,55900,CZK
"Bazén obdélník PŘELIV 2.5×7×1.4m",BAZ-OBD-PR-2.5-7-1.4,bazeny,ks,63700,CZK
"Bazén obdélník PŘELIV 3×5×1.4m",BAZ-OBD-PR-3-5-1.4,bazeny,ks,52867,CZK
"Bazén obdélník PŘELIV 3×6×1.4m",BAZ-OBD-PR-3-6-1.4,bazeny,ks,61750,CZK
"Bazén obdélník PŘELIV 3×7×1.4m",BAZ-OBD-PR-3-7-1.4,bazeny,ks,70633,CZK
"Bazén obdélník PŘELIV 3×8×1.4m",BAZ-OBD-PR-3-8-1.4,bazeny,ks,88400,CZK
"Bazén obdélník PŘELIV 3.5×5×1.4m",BAZ-OBD-PR-3.5-5-1.4,bazeny,ks,61100,CZK
"Bazén obdélník PŘELIV 3.5×6×1.4m",BAZ-OBD-PR-3.5-6-1.4,bazeny,ks,71933,CZK
"Bazén obdélník PŘELIV 3.5×7×1.4m",BAZ-OBD-PR-3.5-7-1.4,bazeny,ks,83850,CZK
"Bazén obdélník PŘELIV 3.5×8×1.4m",BAZ-OBD-PR-3.5-8-1.4,bazeny,ks,96850,CZK
"Bazén obdélník PŘELIV 4×6×1.4m",BAZ-OBD-PR-4-6-1.4,bazeny,ks,82550,CZK
"Bazén obdélník PŘELIV 4×7×1.4m",BAZ-OBD-PR-4-7-1.4,bazeny,ks,92733,CZK
"Bazén obdélník PŘELIV 4×8×1.4m",BAZ-OBD-PR-4-8-1.4,bazeny,ks,104650,CZK
"Bazén obdélník PŘELIV 2×4×1.5m",BAZ-OBD-PR-2-4-1.5,bazeny,ks,35750,CZK
"Bazén obdélník PŘELIV 2×5×1.5m",BAZ-OBD-PR-2-5-1.5,bazeny,ks,44200,CZK
"Bazén obdélník PŘELIV 2×6×1.5m",BAZ-OBD-PR-2-6-1.5,bazeny,ks,52000,CZK
"Bazén obdélník PŘELIV 2.5×4×1.5m",BAZ-OBD-PR-2.5-4-1.5,bazeny,ks,40950,CZK
"Bazén obdélník PŘELIV 2.5×5×1.5m",BAZ-OBD-PR-2.5-5-1.5,bazeny,ks,49400,CZK
"Bazén obdélník PŘELIV 2.5×6×1.5m",BAZ-OBD-PR-2.5-6-1.5,bazeny,ks,57850,CZK
"Bazén obdélník PŘELIV 2.5×7×1.5m",BAZ-OBD-PR-2.5-7-1.5,bazeny,ks,65650,CZK
"Bazén obdélník PŘELIV 3×4×1.5m",BAZ-OBD-PR-3-4-1.5,bazeny,ks,46150,CZK
"Bazén obdélník PŘELIV 3×5×1.5m",BAZ-OBD-PR-3-5-1.5,bazeny,ks,54600,CZK
"Bazén obdélník PŘELIV 3×6×1.5m",BAZ-OBD-PR-3-6-1.5,bazeny,ks,63700,CZK
"Bazén obdélník PŘELIV 3×7×1.5m",BAZ-OBD-PR-3-7-1.5,bazeny,ks,72800,CZK
"Bazén obdélník PŘELIV 3×8×1.5m",BAZ-OBD-PR-3-8-1.5,bazeny,ks,91650,CZK
"Bazén obdélník PŘELIV 3.5×5×1.5m",BAZ-OBD-PR-3.5-5-1.5,bazeny,ks,63050,CZK
"Bazén obdélník PŘELIV 3.5×6×1.5m",BAZ-OBD-PR-3.5-6-1.5,bazeny,ks,74100,CZK
"Bazén obdélník PŘELIV 3.5×7×1.5m",BAZ-OBD-PR-3.5-7-1.5,bazeny,ks,87100,CZK
"Bazén obdélník PŘELIV 3.5×8×1.5m",BAZ-OBD-PR-3.5-8-1.5,bazeny,ks,99450,CZK
"Bazén obdélník PŘELIV 4×6×1.5m",BAZ-OBD-PR-4-6-1.5,bazeny,ks,85800,CZK
"Bazén obdélník PŘELIV 4×7×1.5m",BAZ-OBD-PR-4-7-1.5,bazeny,ks,94900,CZK
"Bazén obdélník PŘELIV 4×8×1.5m",BAZ-OBD-PR-4-8-1.5,bazeny,ks,107250,CZK
"Bazén kruhový SKIMMER Ø1.5×0.5m",BAZ-KRU-SK-1.5-0.5,bazeny,ks,6000,CZK
"Bazén kruhový SKIMMER Ø1.5×0.75m",BAZ-KRU-SK-1.5-0.75,bazeny,ks,7000,CZK
"Bazén kruhový SKIMMER Ø1.5×1m",BAZ-KRU-SK-1.5-1,bazeny,ks,8000,CZK
"Bazén kruhový SKIMMER Ø1.5×1.2m",BAZ-KRU-SK-1.5-1.2,bazeny,ks,9000,CZK
"Bazén kruhový SKIMMER Ø1.5×1.35m",BAZ-KRU-SK-1.5-1.35,bazeny,ks,10000,CZK
"Bazén kruhový SKIMMER Ø1.5×1.5m",BAZ-KRU-SK-1.5-1.5,bazeny,ks,11000,CZK
"Bazén kruhový SKIMMER Ø2×0.5m",BAZ-KRU-SK-2-0.5,bazeny,ks,8500,CZK
"Bazén kruhový SKIMMER Ø2×0.75m",BAZ-KRU-SK-2-0.75,bazeny,ks,10000,CZK
"Bazén kruhový SKIMMER Ø2×1m",BAZ-KRU-SK-2-1,bazeny,ks,11500,CZK
"Bazén kruhový SKIMMER Ø2×1.2m",BAZ-KRU-SK-2-1.2,bazeny,ks,13500,CZK
"Bazén kruhový SKIMMER Ø2×1.35m",BAZ-KRU-SK-2-1.35,bazeny,ks,14500,CZK
"Bazén kruhový SKIMMER Ø2×1.5m",BAZ-KRU-SK-2-1.5,bazeny,ks,15500,CZK
"Bazén kruhový SKIMMER Ø2.5×0.5m",BAZ-KRU-SK-2.5-0.5,bazeny,ks,12000,CZK
"Bazén kruhový SKIMMER Ø2.5×0.75m",BAZ-KRU-SK-2.5-0.75,bazeny,ks,14000,CZK
"Bazén kruhový SKIMMER Ø2.5×1m",BAZ-KRU-SK-2.5-1,bazeny,ks,16000,CZK
"Bazén kruhový SKIMMER Ø2.5×1.2m",BAZ-KRU-SK-2.5-1.2,bazeny,ks,18000,CZK
"Bazén kruhový SKIMMER Ø2.5×1.35m",BAZ-KRU-SK-2.5-1.35,bazeny,ks,20000,CZK
"Bazén kruhový SKIMMER Ø2.5×1.5m",BAZ-KRU-SK-2.5-1.5,bazeny,ks,20500,CZK
"Bazén kruhový SKIMMER Ø3×0.5m",BAZ-KRU-SK-3-0.5,bazeny,ks,15500,CZK
"Bazén kruhový SKIMMER Ø3×0.75m",BAZ-KRU-SK-3-0.75,bazeny,ks,18500,CZK
"Bazén kruhový SKIMMER Ø3×1m",BAZ-KRU-SK-3-1,bazeny,ks,21000,CZK
"Bazén kruhový SKIMMER Ø3×1.2m",BAZ-KRU-SK-3-1.2,bazeny,ks,23500,CZK
"Bazén kruhový SKIMMER Ø3×1.35m",BAZ-KRU-SK-3-1.35,bazeny,ks,24500,CZK
"Bazén kruhový SKIMMER Ø3×1.5m",BAZ-KRU-SK-3-1.5,bazeny,ks,26000,CZK
"Bazén kruhový SKIMMER Ø3.5×0.5m",BAZ-KRU-SK-3.5-0.5,bazeny,ks,21500,CZK
"Bazén kruhový SKIMMER Ø3.5×0.75m",BAZ-KRU-SK-3.5-0.75,bazeny,ks,24500,CZK
"Bazén kruhový SKIMMER Ø3.5×1m",BAZ-KRU-SK-3.5-1,bazeny,ks,27500,CZK
"Bazén kruhový SKIMMER Ø3.5×1.2m",BAZ-KRU-SK-3.5-1.2,bazeny,ks,30000,CZK
"Bazén kruhový SKIMMER Ø3.5×1.35m",BAZ-KRU-SK-3.5-1.35,bazeny,ks,32000,CZK
"Bazén kruhový SKIMMER Ø3.5×1.5m",BAZ-KRU-SK-3.5-1.5,bazeny,ks,34000,CZK
"Bazén kruhový SKIMMER Ø4×0.5m",BAZ-KRU-SK-4-0.5,bazeny,ks,27500,CZK
"Bazén kruhový SKIMMER Ø4×0.75m",BAZ-KRU-SK-4-0.75,bazeny,ks,31500,CZK
"Bazén kruhový SKIMMER Ø4×1m",BAZ-KRU-SK-4-1,bazeny,ks,35500,CZK
"Bazén kruhový SKIMMER Ø4×1.2m",BAZ-KRU-SK-4-1.2,bazeny,ks,38500,CZK
"Bazén kruhový SKIMMER Ø4×1.35m",BAZ-KRU-SK-4-1.35,bazeny,ks,41000,CZK
"Bazén kruhový SKIMMER Ø4×1.5m",BAZ-KRU-SK-4-1.5,bazeny,ks,43000,CZK
"Bazén kruhový SKIMMER Ø4.5×0.5m",BAZ-KRU-SK-4.5-0.5,bazeny,ks,34000,CZK
"Bazén kruhový SKIMMER Ø4.5×0.75m",BAZ-KRU-SK-4.5-0.75,bazeny,ks,38000,CZK
"Bazén kruhový SKIMMER Ø4.5×1m",BAZ-KRU-SK-4.5-1,bazeny,ks,42500,CZK
"Bazén kruhový SKIMMER Ø4.5×1.2m",BAZ-KRU-SK-4.5-1.2,bazeny,ks,46500,CZK
"Bazén kruhový SKIMMER Ø4.5×1.35m",BAZ-KRU-SK-4.5-1.35,bazeny,ks,49000,CZK
"Bazén kruhový SKIMMER Ø4.5×1.5m",BAZ-KRU-SK-4.5-1.5,bazeny,ks,51500,CZK
"Bazén kruhový PŘELIV Ø1.5×0.5m",BAZ-KRU-PR-1.5-0.5,bazeny,ks,7800,CZK
"Bazén kruhový PŘELIV Ø1.5×0.75m",BAZ-KRU-PR-1.5-0.75,bazeny,ks,9100,CZK
"Bazén kruhový PŘELIV Ø1.5×1m",BAZ-KRU-PR-1.5-1,bazeny,ks,10400,CZK
"Bazén kruhový PŘELIV Ø1.5×1.2m",BAZ-KRU-PR-1.5-1.2,bazeny,ks,11700,CZK
"Bazén kruhový PŘELIV Ø1.5×1.35m",BAZ-KRU-PR-1.5-1.35,bazeny,ks,13000,CZK
"Bazén kruhový PŘELIV Ø1.5×1.5m",BAZ-KRU-PR-1.5-1.5,bazeny,ks,14300,CZK
"Bazén kruhový PŘELIV Ø2×0.5m",BAZ-KRU-PR-2-0.5,bazeny,ks,11050,CZK
"Bazén kruhový PŘELIV Ø2×0.75m",BAZ-KRU-PR-2-0.75,bazeny,ks,13000,CZK
"Bazén kruhový PŘELIV Ø2×1m",BAZ-KRU-PR-2-1,bazeny,ks,14950,CZK
"Bazén kruhový PŘELIV Ø2×1.2m",BAZ-KRU-PR-2-1.2,bazeny,ks,17550,CZK
"Bazén kruhový PŘELIV Ø2×1.35m",BAZ-KRU-PR-2-1.35,bazeny,ks,18850,CZK
"Bazén kruhový PŘELIV Ø2×1.5m",BAZ-KRU-PR-2-1.5,bazeny,ks,20150,CZK
"Bazén kruhový PŘELIV Ø2.5×0.5m",BAZ-KRU-PR-2.5-0.5,bazeny,ks,15600,CZK
"Bazén kruhový PŘELIV Ø2.5×0.75m",BAZ-KRU-PR-2.5-0.75,bazeny,ks,18200,CZK
"Bazén kruhový PŘELIV Ø2.5×1m",BAZ-KRU-PR-2.5-1,bazeny,ks,20800,CZK
"Bazén kruhový PŘELIV Ø2.5×1.2m",BAZ-KRU-PR-2.5-1.2,bazeny,ks,23400,CZK
"Bazén kruhový PŘELIV Ø2.5×1.35m",BAZ-KRU-PR-2.5-1.35,bazeny,ks,26000,CZK
"Bazén kruhový PŘELIV Ø2.5×1.5m",BAZ-KRU-PR-2.5-1.5,bazeny,ks,26650,CZK
"Bazén kruhový PŘELIV Ø3×0.5m",BAZ-KRU-PR-3-0.5,bazeny,ks,20150,CZK
"Bazén kruhový PŘELIV Ø3×0.75m",BAZ-KRU-PR-3-0.75,bazeny,ks,24050,CZK
"Bazén kruhový PŘELIV Ø3×1m",BAZ-KRU-PR-3-1,bazeny,ks,27300,CZK
"Bazén kruhový PŘELIV Ø3×1.2m",BAZ-KRU-PR-3-1.2,bazeny,ks,30550,CZK
"Bazén kruhový PŘELIV Ø3×1.35m",BAZ-KRU-PR-3-1.35,bazeny,ks,31850,CZK
"Bazén kruhový PŘELIV Ø3×1.5m",BAZ-KRU-PR-3-1.5,bazeny,ks,33800,CZK
"Bazén kruhový PŘELIV Ø3.5×0.5m",BAZ-KRU-PR-3.5-0.5,bazeny,ks,27950,CZK
"Bazén kruhový PŘELIV Ø3.5×0.75m",BAZ-KRU-PR-3.5-0.75,bazeny,ks,31850,CZK
"Bazén kruhový PŘELIV Ø3.5×1m",BAZ-KRU-PR-3.5-1,bazeny,ks,35750,CZK
"Bazén kruhový PŘELIV Ø3.5×1.2m",BAZ-KRU-PR-3.5-1.2,bazeny,ks,39000,CZK
"Bazén kruhový PŘELIV Ø3.5×1.35m",BAZ-KRU-PR-3.5-1.35,bazeny,ks,41600,CZK
"Bazén kruhový PŘELIV Ø3.5×1.5m",BAZ-KRU-PR-3.5-1.5,bazeny,ks,44200,CZK
"Bazén kruhový PŘELIV Ø4×0.5m",BAZ-KRU-PR-4-0.5,bazeny,ks,35750,CZK
"Bazén kruhový PŘELIV Ø4×0.75m",BAZ-KRU-PR-4-0.75,bazeny,ks,40950,CZK
"Bazén kruhový PŘELIV Ø4×1m",BAZ-KRU-PR-4-1,bazeny,ks,46150,CZK
"Bazén kruhový PŘELIV Ø4×1.2m",BAZ-KRU-PR-4-1.2,bazeny,ks,50050,CZK
"Bazén kruhový PŘELIV Ø4×1.35m",BAZ-KRU-PR-4-1.35,bazeny,ks,53300,CZK
